demo_id,display_name,title,specialties,governorate,delegation,locality,sources,quality_score,quality_status
DEMO-054,Dr Demo 054,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-055,Dr Demo 055,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-056,Dr Demo 056,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-057,Dr Demo 057,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-058,Dr Demo 058,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-059,Dr Demo 059,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-060,Dr Demo 060,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-061,Dr Demo 061,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-062,Dr Demo 062,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-063,Dr Demo 063,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-064,Dr Demo 064,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-065,Dr Demo 065,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-066,Dr Demo 066,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-067,Dr Demo 067,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-068,Dr Demo 068,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-069,Dr Demo 069,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-070,Dr Demo 070,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-071,Dr Demo 071,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-072,Dr Demo 072,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-073,Dr Demo 073,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-074,Dr Demo 074,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-075,Dr Demo 075,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-076,Dr Demo 076,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-077,Dr Demo 077,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-078,Dr Demo 078,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-079,Dr Demo 079,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
DEMO-080,Dr Demo 080,Dentiste,"[""Dentiste""]",Ariana,,,tunisie_medicale,70,MEDIUM
